method,roi,a1_capture,a1_umi_density,a2_median_umi,a3_median_genes,c1_coexpr,ned,b1_debris_rate,b2_qc_yield,n_cells_raw,d1_silhouette,e1_immune_survival,a1_norm,a1d_norm,a2_norm,a3_norm,c1_norm,ned_norm,d1_norm,e1_norm,capture_score,purity_score,core_tas,tas
v12,roi1,0.8529506265395738,8.184110376007801,465.0,353.5,0.0060562015503875,0.7450941801071167,0.003875968992248,1028,1032,0.1407679319381714,1.0,0.8529506265395738,0.4562901676024876,0.8891509842966513,1.0,0.9939437984496124,0.7450941801071167,0.5703839659690857,1.0,0.7004328298754066,0.8605705895383406,0.7763838569534318,0.7042838951089107
v12,roi2,0.8256093008372887,10.045392523538167,500.0,366.0,0.0028462998102466,0.7011699080467224,0.0037950664136622,1050,1054,0.1407679319381714,1.0,0.8256093008372887,0.5600625636275799,0.8996566681120063,1.0,0.9971537001897534,0.7011699080467224,0.5703839659690857,1.0,0.7549454488417915,0.8361663520319975,0.7945187108817512,0.7160715501623183
v12,roi3,0.8143131399317406,6.890693047964329,393.5,232.0,0.0022321428571428,0.6555074453353882,0.0287698412698412,979,1008,0.1407679319381714,0.6666666666666666,0.8143131399317406,0.3841780402877038,0.8649815788983611,0.7733333333333333,0.9977678571428572,0.6555074453353882,0.5703839659690857,0.6666666666666666,0.6016677482017755,0.8087300285469057,0.6975577217542462,0.65304690722944
v12,roi4,0.8124211664364226,15.60353802870957,970.0,801.0,0.0116352201257861,0.724952220916748,0.0,795,795,0.1407679319381714,1.0,0.8124211664364226,0.8699468427483109,0.9955905780887484,1.0,0.9883647798742139,0.724952220916748,0.5703839659690857,1.0,0.9338710658963425,0.8464734149668872,0.8890989991491633,0.7775487375361362
v12,roi5,0.8043536253534653,14.748477921881754,1010.5,795.5,0.0059974747474747,0.6978805661201477,0.0012626262626262,776,792,0.1407679319381714,,0.8043536253534653,0.8222745238853556,1.0,1.0,0.9940025252525253,0.6978805661201477,0.5703839659690857,,0.9111372619426779,0.8328835723245409,0.8711321699976523,0.765870298587654
v12,roi6,0.8980473751600512,12.740954924921216,602.5,522.5,0.0016611295681063,0.7811250686645508,0.0008305647840531,1203,1204,0.1407679319381714,,0.8980473751600512,0.7103487356611012,0.9266523504156353,1.0,0.9983388704318937,0.7811250686645508,0.5703839659690857,,0.8368374554344594,0.8830784329359442,0.8596470838472993,0.7584049925899246
v12,roi7,0.802484264468334,17.616798837041195,701.0,583.0,0.0038363171355498,0.7513459324836731,0.0034100596760443,1164,1173,0.1407679319381714,,0.802484264468334,0.9821925321947995,0.9485726726555529,1.0,0.9961636828644502,0.7513459324836731,0.5703839659690857,,0.978239434261288,0.8651378683239801,0.9199521611840841,0.7976032928588347
v12,roi8,0.675329526655638,7.745107371955355,556.5,459.5,0.0056306306306306,0.7626179456710815,0.003003003003003,629,666,0.1407679319381714,0.5,0.675329526655638,0.4318143547048128,0.9151550562235757,1.0,0.9943693693693694,0.7626179456710815,0.5703839659690857,0.5,0.6946959414083003,0.8708179635875212,0.777787699188983,0.705196392562019
v12,roi9,0.7487600661298064,12.831577920239722,635.0,555.0,0.004323499491353,0.7944343090057373,0.0,979,983,0.1407679319381714,,0.7487600661298064,0.7154012557057651,0.9342579084306586,1.0,0.995676500508647,0.7944343090057373,0.5703839659690857,,0.8412651049605472,0.8893815675371497,0.864988831005416,0.7618771282427004
v12,roi10,0.7073730260349979,6.603940264812039,385.0,246.0,0.0059006211180124,0.6863670945167542,0.0062111801242236,800,805,0.1407679319381714,1.0,0.7073730260349979,0.3681906611501239,0.8618202431695003,0.82,0.9940993788819876,0.6863670945167542,0.5703839659690857,1.0,0.604550391367437,0.8260248799788901,0.7066637563017352,0.6589658296853078
v12,roi11,0.572,9.616824292443663,535.0,328.0,0.0050724637681159,0.6681856513023376,0.0072463768115942,685,690,0.1407679319381714,1.0,0.572,0.5361685224904413,0.9094512606737428,1.0,0.9949275362318841,0.6681856513023376,0.5703839659690857,1.0,0.7454470764136564,0.815350417793314,0.7796156650534154,0.7063845703739
v12,roi12,0.5887341974715955,13.30041213248163,579.0,499.0,0.003680981595092,0.7872193455696106,0.003680981595092,812,815,0.1407679319381714,1.0,0.5887341974715955,0.741540253281943,0.9208928545758122,1.0,0.996319018404908,0.7872193455696106,0.5703839659690857,1.0,0.8509933402849246,0.8856193345039778,0.868133719936308,0.7639213060477802
v12,roi13,0.7439603221161538,15.100156567659472,1199.0,955.0,0.0053435114503816,0.710513710975647,0.0,655,655,0.1407679319381714,,0.7439603221161538,0.841881726238656,1.0,1.0,0.9946564885496184,0.710513710975647,0.5703839659690857,,0.920940863119328,0.8406646613397019,0.8798877421626594,0.7715614204949086
v12,roi14,0.7218991731128301,11.40502148698407,779.5,652.5,0.0073099415204678,0.7525849342346191,0.0014619883040935,683,684,0.1407679319381714,1.0,0.7218991731128301,0.6358662000773795,0.9639387065082868,1.0,0.9926900584795322,0.7525849342346191,0.5703839659690857,1.0,0.8089177766657615,0.8643399692112931,0.836169818982814,0.7431447704280091
v12,roi15,0.4879401973953162,11.067769151172104,547.0,376.0,0.0023584905660377,0.6897416710853577,0.0047169811320754,628,636,0.1407679319381714,,0.4879401973953162,0.6170633103603621,0.9126624421111436,1.0,0.9976415094339623,0.6897416710853577,0.5703839659690857,,0.7866972657079669,0.8295269265437378,0.8078283016477524,0.7247227841602191
sr,roi1,0.9922351933169112,8.156906648809297,430.0,322.0,0.0044886807181889,0.7505242228507996,0.009367681498829,1269,1281,0.0850502476096153,0.8571428571428571,0.9922351933169112,0.45477347334098217,0.8778228185265289,1.0,0.9955113192818111,0.7505242228507996,0.5425251238048077,0.8571428571428571,0.6968424413021232,0.86438148941492,0.7761041858541019,0.6943515141368489
sr,roi2,0.9707748920057596,10.18678765256088,475.5,339.0,0.002579365079365,0.704424262046814,0.0277777777777777,1225,1260,0.0850502476096153,1.0,0.9707748920057596,0.5679457915113442,0.8923835070911442,1.0,0.997420634920635,0.704424262046814,0.5425251238048077,1.0,0.7570687725284582,0.8382167349225574,0.796610139667223,0.7076803841153777
sr,roi3,0.9355268771331058,7.304199777767709,399.0,226.0,0.0040983606557377,0.6531336307525635,0.0364298724954462,1058,1098,0.0850502476096153,1.0,0.9355268771331058,0.4072323548531408,0.8669909652289162,0.7533333333333333,0.9959016393442623,0.6531336307525635,0.5425251238048077,1.0,0.6086972520671328,0.8065090536239181,0.7006567238727841,0.6453106638489924
sr,roi4,0.9597573427833505,15.524282116106406,796.0,665.0,0.0100749765698219,0.740917980670929,0.0028116213683223,1064,1067,0.0850502476096153,1.0,0.9597573427833505,0.8655280736966127,0.9669710225792231,1.0,0.9899250234301781,0.740917980670929,0.5425251238048077,1.0,0.9245067924931121,0.8564188515997938,0.8898118034298937,0.7682614655611136
sr,roi5,0.9725230752814384,14.765001604446027,857.0,680.0,0.0057526366251198,0.6997977495193481,0.0057526366251198,1010,1043,0.0850502476096153,,0.9725230752814384,0.8231957717107473,0.9776602739743995,1.0,0.9942473633748802,0.6997977495193481,0.5425251238048077,,0.9060129543489736,0.8341295267254881,0.8693285666641068,0.7549473616633522
sr,roi6,0.9433418693982074,12.75387830427291,732.0,627.0,0.0022123893805309,0.751683235168457,0.0039331366764995,1013,1017,0.0850502476096153,,0.9433418693982074,0.711069255138412,0.9548370270194639,1.0,0.9977876106194691,0.751683235168457,0.5425251238048077,,0.844243884324072,0.8660370772440676,0.8550710532237646,0.7456799779271297
sr,roi7,0.9583913552052582,17.93619708925585,962.0,785.0,0.0049603174603174,0.7041918635368347,0.0029761904761904,1004,1008,0.0850502476096153,,0.9583913552052582,1.0,0.994391690679271,1.0,0.9950396825396826,0.7041918635368347,0.5425251238048077,,0.9985979226698177,0.8370775641126212,0.9142778115192202,0.7841643708191758
sr,roi8,0.982016116121458,7.860331718994728,491.0,415.0,0.00675,0.7624639272689819,0.017,933,1000,0.0850502476096153,1.0,0.982016116121458,0.4382384783061527,0.8970271640409895,1.0,0.99325,0.7624639272689819,0.5425251238048077,1.0,0.6933760301633237,0.8702397921032549,0.7767904558751421,0.6947975896505251
