method,n_cells,AT2_any_pct,AT1_any_pct,SFTPC_pct,SFTPB_pct,SFTPA1_pct,AGER_pct,RTKN2_pct,CAV1_pct,HOPX_pct
MCseg_v1,948,38.92,5.06,29.32,18.04,8.86,1.16,0.74,1.79,1.48
MCseg_v2,1085,44.98,5.71,34.1,22.21,11.89,1.57,0.55,1.94,1.75
